,Nc_init,M_init,Nr_init,rtype_init,dtype_init,divide_init,total population_init,staticdif_init,EP_init,dif_init,Cell  Volume_max_init,Cell  Volume_min_init,Cell  Volume_ave_init,Cell  Volume_var_init,Total Chemicals_max_init,Total Chemicals_min_init,Total Chemicals_ave_init,Total Chemicals_var_init,Nc_last,M_last,Nr_last,rtype_last,dtype_last,divide_last,total population_last,staticdif_last,EP_last,dif_last,Cell  Volume_max_last,Cell  Volume_min_last,Cell  Volume_ave_last,Cell  Volume_var_last,Total Chemicals_max_last,Total Chemicals_min_last,Total Chemicals_ave_last,Total Chemicals_var_last
10,400,30,3,random,gradient,True,6765.4481630084265,0.6270003580787897,-2802.1791587872262,2802.806159145305,21.119813527526198,10.748604243940282,16.913620407521066,2.329897496013709,255.21420970539668,195.14246495984796,225.51493876694758,217.42265792480148,400,30,3,random,gradient,True,6765.4481630084265,-79085.29666460294,-159532617670.94955,159532538585.6529,132435112.41473025,21388738.446154047,58872554.62051862,422183303875919.3,22992719385.62599,1180.1142169667476,784967394.9402491,1.7012834385971761e+19
11,500,10,8,random,gradient,True,2787.665927403001,0.056590367932478215,-1013.686601274869,1013.7431916428014,8.309860662166518,2.9269244914245016,5.575331854806003,0.8292488137653479,303.68963761214593,267.8118906905839,278.7665927403001,88.82256213687997,500,10,8,random,gradient,True,2787.665927403001,-9567614109.15244,-3.3597510811325605e+21,3.359751081122993e+21,29688021731060.17,13966.792684672873,593761038379.7311,1.7275020515396995e+25,29686953690875.1,77.4992139845935,2968805191898.6553,7.931771779615736e+25
12,500,100,50,random,gradient,True,40249.83532149957,30.902854042854734,-60677.8157745375,60708.718628580355,89.04779341384399,71.67652234630988,80.49967064299915,8.386879697628967,540.1627397140643,265.74054888869983,402.49835321499575,6280.4583742425575,500,100,50,random,gradient,True,40249.83532149957,-637028924.3181149,-88420367804298.17,88419730775373.86,1445402571.837994,184624981.70857918,554097160.7277607,4.729112391698264e+16,276605205227.5836,6.952662771333905,2770485803.6388044,7.574299031096965e+20
13,500,500,250,random,gradient,True,495219.7518980577,3184.791335857392,-1440532.3718571821,1443717.1631930396,1010.1471053035143,973.1194105282029,990.4395037961153,42.782569282129096,1726.3624688062912,258.2813691281037,990.4395037961153,176013.49025588046,500,500,250,random,gradient,True,495219.7518980577,-518495014310.58844,-6.600634219625034e+22,6.600634219573185e+22,277039233684.9165,64319996044.075714,137718037647.45746,1.30966844986164e+21,44949160941145.79,0.0,137718037647.45755,4.703781004974568e+24
14,100,30,24,random,gradient,True,1528.3328618725445,0.07434585406629503,-46.822709489901875,46.89705534396817,18.522184673796907,11.189821134501482,15.283328618725445,2.6173756519435565,56.49953823543505,44.64358680446768,50.94442872908482,5.971202715412466,100,30,24,random,gradient,True,1528.3328618725445,-431754444.52689606,-2.463424780431648e+17,2.4634247761141037e+17,158502370565.1932,279.8211014700042,1585027240.8256097,2.487177033937759e+20,88863441945.25595,21.60697719368828,5283424136.085366,3.9686710101105993e+20
15,400,500,50,random,gradient,True,314549.30908043217,2283.3344818175397,-766411.693805366,768695.0282871836,803.8848675483753,767.1010196289449,786.3732727010805,36.38584868104404,1061.0192461324975,199.56668426310335,629.0986181608644,58941.37424094557,400,500,50,random,gradient,True,314549.30908043217,-3.053645481696857e+21,-6.675901852735217e+44,6.675901852735217e+44,5.522572051020777e+22,318314891963970.6,2.6682177849269836e+20,7.914012042618156e+42,1.0672871139353468e+23,443.99643745313307,2.1345742279415877e+20,2.273647160010292e+43
16,200,10,8,random,gradient,True,1033.632963380825,0.015582555873494129,-95.05227864008233,95.06786119595583,7.440301250516219,2.654226382857509,5.168164816904126,0.9071297072900764,108.3935273535656,97.6587325353707,103.3632963380825,15.172248538228791,200,10,8,random,gradient,True,1033.632963380825,-246097497194.05536,-3.9381520060393705e+28,3.9381520060393705e+28,538747412210095.6,63.38810483675916,2701373421473.6626,1.4439578411335433e+27,540274682857034.25,92.30357552761569,54027468429473.21,2.627070594872917e+28
17,100,30,15,random,gradient,True,1538.7390434005729,0.061897456954578045,-33.765392704343206,33.82729016129778,18.84341269647903,11.745163934419363,15.38739043400573,2.373320576158454,56.069989018890794,44.153620445126435,51.29130144668577,7.296841725127104,100,30,15,random,gradient,True,1538.7390434005729,-526664040.5498639,-7.938125948599018e+16,7.938125895932613e+16,114279852935.71233,699.5221896461185,1142801867.5543954,1.2929285176171477e+20,114267211048.6395,3.3659080257652265,3809339558.514651,4.207221188363748e+20
18,400,100,10,random,gradient,True,28717.808944490364,21.198059059803477,-31318.12513978261,31339.323198842412,83.62505797607805,62.46277107155445,71.7945223612259,8.211052767753666,381.4774480982433,214.214930389823,287.17808944490366,1978.1166672209952,400,100,10,random,gradient,True,28717.808944490364,-832946.0770001616,-672699117031.1426,672698284085.0656,149484387.70065507,52234870.92810499,87189296.40576161,333382870295806.1,33053200665.68114,140.0062188330837,348757185.6230463,1.081896420004803e+19
19,200,500,250,random,gradient,True,121472.89139943945,1356.2124562769875,-227664.75875128692,229020.9712075639,623.1155725622866,586.3877600642398,607.3644569971973,39.27440017189804,390.30856497098404,99.25744494986625,242.94578279887892,6580.506216538589,200,500,250,random,gradient,True,121472.89139943945,-701809676.3640653,-245685283157487.8,245684581347811.44,2389221301.913243,123465499.81790587,502069143.44461054,2.1789050890508307e+17,53729034132.40308,3.812779163971574,200827657.37784415,9.844344185144857e+18
20,500,100,10,random,gradient,True,40023.14290537666,30.35889345625841,-59391.14004633303,59421.498939789286,88.53182551125688,70.91963179297004,80.04628581075333,8.068583362790843,529.3485145280043,260.7314753643415,400.2314290537667,6073.054412295791,500,100,10,random,gradient,True,40023.14290537666,-2350205.2363178288,-2071685741387.4272,2071683391182.191,193268099.07652315,113493277.75958788,147345414.0388243,201587407571421.53,72733196923.5681,505.6508519560432,736727070.194121,5.2362816082089075e+19
21,500,100,80,random,gradient,True,40554.43270800547,31.265598638760576,-61914.70955132664,61945.9751499654,88.57195488508621,72.02074852635883,81.10886541601094,7.535711246161934,558.7551970998225,256.1724782996268,405.5443270800547,6663.639914503146,500,100,80,random,gradient,True,40554.43270800547,-1.1185861041910828e+16,-3.21861817478156e+29,3.218618174781448e+29,4.4362637152156435e+17,218450841.59889224,3434475954705480.5,8.189403371590054e+32,1.7172018113380278e+18,29.29014416910591,1.7172379773527404e+16,2.9192929994335045e+34
22,200,100,10,random,gradient,True,12582.89876328854,11.493453024633215,-8252.786570584667,8264.2800236093,69.67318947475441,55.863701813722855,62.9144938164427,8.306937551992041,159.7747461707746,97.35784887426018,125.82898763288541,208.66531073089712,200,100,10,random,gradient,True,12582.89876328854,-24565233.941760574,-216449248783.17468,216424683549.2329,139685375.36096942,64283282.904323556,96478165.07273442,213312292595641.94,17883709707.52373,10.132405230142473,192956330.1454689,3.1701282891439063e+18
23,200,10,5,random,gradient,True,1031.9929801813557,0.015820983705839013,-94.94238150964568,94.95820249335152,7.288068333488859,2.881615733157137,5.159964900906779,0.8382717722775954,107.12358035644493,95.29698046959197,103.19929801813558,10.696096081283622,200,10,5,random,gradient,True,1031.9929801813557,-45128115.998927176,-1.2508171364166656e+16,1.250817131903854e+16,172718634464.05838,6298.874541621214,978113032.6723522,1.4990917206327352e+20,195620156831.44196,24.160025059725356,19562260653.44704,3.4440425342016715e+21
24,500,50,40,random,gradient,True,16475.966232208764,4.1856174796210945,-15789.166821543704,15793.352439023325,38.60557285642772,26.180842474261755,32.95193246441753,4.429413556061324,420.41932735976917,249.01182636740094,329.51932464417536,1721.863079079884,500,50,40,random,gradient,True,16475.966232208764,-1559328264740.9993,-3.785422321140992e+23,3.7854223211253986e+23,3565503655611224.0,2243517.77684765,10815895995425.736,2.7315595865594903e+28,5407909976940842.0,27.731349189568995,108158959954257.4,5.73211445772449e+29
25,200,50,25,random,gradient,True,5665.231531904974,1.4652909507229834,-2011.4065534428576,2012.8718443935804,32.500109302631714,23.28125367617876,28.326157659524867,3.650246131039366,130.68259754412233,95.59989302103179,113.30463063809945,60.21170162320715,200,50,25,random,gradient,True,5665.231531904974,-412651519.27593285,-2.8378141276315443e+17,2.837814123505029e+17,304174186016.0548,21863.755926861846,1925399756.6282463,4.777968056217907e+20,385062691681.8113,1.2531850774325333,7701599026.512983,2.9061509058785014e+21
26,500,10,1,random,gradient,True,2731.200541935067,0.05426331507596831,-945.3148212617352,945.3690845768112,7.836600901073611,2.802990368483239,5.462401083870135,0.8015624022677859,283.0886188210514,255.80816077321026,273.1200541935067,91.84929461533102,500,10,1,random,gradient,True,2731.200541935067,-747.3636576037742,-1488768826.324179,1488768078.9605212,114642193.51248837,754037.3378808758,10289387.326982278,287657875000518.4,489497946.5941891,1765.2256839047627,51446936.63491139,2.1343605866212868e+16
27,100,100,10,random,gradient,True,5497.4898066511405,3.870989094983248,-1083.8647553060548,1087.7357444010381,61.985890494867874,47.80222719062983,54.974898066511415,8.40610084596963,64.28959614287784,46.16674921524104,54.974898066511415,14.035681914845508,100,100,10,random,gradient,True,5497.4898066511405,-2232715.7387276613,-4880187643.915162,4877954928.1764345,228148508.58811337,149862809.79956326,173208075.28782973,476124357170356.2,691717659.9471755,0.8899744354098974,17320807.52878297,7514023669583745.0
28,400,30,24,random,gradient,True,6921.965155784499,0.6971131934166533,-3202.9552942873042,3203.6524074807207,22.66128173978051,13.300892484789845,17.30491288946125,2.515281421482188,250.69256447609047,203.44842274712968,230.73217185948326,165.80364959117585,400,30,24,random,gradient,True,6921.965155784499,-1677727613065779.8,-1.5150165926684715e+36,1.5150165926684715e+36,2.833473806755355e+18,819.2570394799728,9694448425826304.0,2.225142000258239e+34,3.8777793697463793e+18,147.9989011997021,1.2925931234435075e+17,4.845311248532865e+35
29,200,500,50,random,gradient,True,119135.60688350328,1308.3707321506151,-217096.58560631654,218404.95633846716,613.9591615431362,576.4800001007987,595.6780344175164,38.38438026089013,376.82715271754523,100.06865277027254,238.27121376700654,6155.500900762479,200,500,50,random,gradient,True,119135.60688350328,-28402900.013589554,-2049438376241.1543,2049409973341.1406,281184573.8153542,139508218.04343873,190960609.98282206,732522726738154.6,34703458139.91558,119.72177061937393,76384243.99312882,2.413776952411365e+18
30,400,10,1,random,gradient,True,2136.9200634031854,0.03320621843857362,-431.39969354960465,431.4328997680432,8.1378495930468,2.7384066308209984,5.342300158507963,0.8778554210201857,222.83297913767183,197.9837025504548,213.69200634031853,66.52962947114685,400,10,1,random,gradient,True,2136.9200634031854,-3250.2183526553363,-4698830181.983468,4698826931.765116,111269759.62532446,50398777.28887596,77004324.75282855,168689184217628.66,2901325146.3821254,1120.564068115653,308017299.0113143,7.48441693986687e+17
31,400,500,250,random,gradient,True,319754.4549762029,2331.612631981693,-790275.377262208,792606.9898941898,815.317770919297,782.7754982178895,799.3861374405075,36.93654565945371,1080.9348301223717,199.98905570382595,639.5089099524059,61536.94082601277,400,500,250,random,gradient,True,319754.4549762029,-2389812492.3907075,-65051448744207.67,65049058931715.28,1063059881.2606026,737516974.0512,889858390.2898887,3147558793081730.0,344825399295.58435,10.023616403512625,711886712.2319106,2.3741882052591367e+20
32,200,50,5,random,gradient,True,5657.765675510599,1.4281848806951767,-1930.541252440342,1931.9694373210373,34.3598592443912,22.361354421927008,28.288828377552996,4.510136940289163,126.8354102543957,96.60165340494557,113.15531351021198,52.91887758177927,200,50,5,random,gradient,True,5657.765675510599,-938964.0898000059,-90794102091.16663,90793163127.07683,123922965.22569437,41244439.9848574,71466156.34626868,293518581224828.7,14083205815.239132,14.633873400089993,285864625.38507473,3.8854859150198246e+18
33,100,500,400,random,gradient,True,42964.563664494985,605.4258801667237,-44828.74508071437,45434.17096088109,441.89533434711376,416.37723473272047,429.64563664494983,36.23867456469081,123.47722813418635,47.036305572987715,85.92912732898996,419.083258831413,100,500,400,random,gradient,True,42964.563664494985,-19276441564.0745,-2.361142246786049e+19,2.361142244858405e+19,1589715472066.7007,2629345.1308220886,17739300062.033855,2.4988790459281296e+22,1772739785885.6172,13.753096911876357,3547860012.406771,6.272628150501317e+21
34,200,100,80,random,gradient,True,12901.825335706812,12.441940159369878,-9264.544452159149,9276.986392318518,73.1955005674476,55.982842591895334,64.50912667853406,8.120839694834103,158.848031308594,97.79205097275833,129.0182533570681,262.8989245859318,200,100,80,random,gradient,True,12901.825335706812,-274448310715.93524,-2.4137360689168974e+27,2.413736068916897e+27,135691584134635.14,17085.39093834059,779431494010.8651,9.217312616845706e+25,155886283038239.75,8.419268954386093,1558862988021.731,2.4057527857935907e+26
35,100,30,3,random,gradient,True,1508.565863667964,0.04722496590293349,-20.084013696614154,20.131238662517088,18.04765970370901,11.321506018891094,15.085658636679643,2.2870184134578015,57.255736482307114,45.384283440422834,50.28552878893214,8.304469136721483,100,30,3,random,gradient,True,1508.565863667964,-780650121822.9108,-7.177567606561687e+27,7.177567606561686e+27,232897736552579.97,121.0385419192922,2329069708994.2686,5.369889920565199e+26,232906967754544.16,58.0820727329771,7763565696647.562,1.7479155686277131e+27
36,500,30,3,random,gradient,True,9044.604215227235,0.9429801435485133,-5740.254745375553,5741.197725519101,22.995191148947466,13.79130667824801,18.08920843045447,2.4454630122200784,339.0717157096398,262.1915110821276,301.48680717424116,524.0415482643741,500,30,3,random,gradient,True,9044.604215227235,-4274502.231169442,-228711971999.14642,228707697496.91525,173833274.57135347,104171499.57779302,134610489.96516135,203237371085994.0,42317155717.6008,16.80753828220803,2243508166.0860243,7.024742688589793e+19
37,100,10,1,random,gradient,True,496.0021811448185,0.00022074679503225524,0.4964142699251423,-0.49619352313011006,7.748510888661324,2.119866712066816,4.960021811448185,1.1264906071678613,55.24018055722535,45.63587560267107,49.60021811448185,11.009965372974005,100,10,1,random,gradient,True,496.0021811448185,1.0298325116764317e-07,0.4711588459644984,-0.47115874298124727,6.486962857186883,6.480611891701161,6.4835223676757705,1.5274878351245441e-06,100.88627060897443,36.243227831830055,64.8352236767577,403.51021719416224
38,400,500,400,random,gradient,True,324667.2900389491,2382.4954582209434,-813954.2919632025,816336.7874214235,828.6929736863642,794.2149234532675,811.6682250973727,40.283686330764276,1093.0545162226306,199.50926881530236,649.3345800778982,64464.19949694737,400,500,400,random,gradient,True,324667.2900389491,-11183713139581.188,-2.8418744474578733e+22,2.841874446339502e+22,25528153678034.434,1530755930.03172,1930736353288.8745,1.3114814748936064e+25,771822038604392.4,9.442858785453158,1544589082631.0986,1.1890330912496558e+27
39,100,50,25,random,gradient,True,2587.084338644283,0.4283127319884716,-204.97254640332142,205.4008591353099,30.498343276531273,21.55752820828778,25.87084338644283,3.479490618605563,57.685317550011405,45.062143968890034,51.74168677288566,8.796862226607434,100,50,25,random,gradient,True,2587.084338644283,-20344249.276831713,-701279239025.0441,701258894775.7672,1015050360.7446563,12112886.867798101,57045156.71938317,1.5670319882133026e+16,3421127335.567424,2.6005288800129702,114090313.43876633,3.195071068188425e+17
40,400,50,25,random,gradient,True,12189.028459005254,2.8363281857843305,-7974.062289343907,7976.898617529691,36.2014405260471,23.91606323546476,30.472571147513133,3.759659945792323,277.27345876695136,207.08377992105005,243.78056918010503,430.21435319716556,400,50,25,random,gradient,True,12189.028459005254,-107430307.77142526,-8.714210299473862e+16,8.714210288730832e+16,198709500341.6731,400070.3265298925,872380783.2830096,1.0289127367332767e+20,348891986471.8118,73.04962074888142,6979046266.264077,2.385805302330642e+21
41,500,500,400,random,gradient,True,501826.0317543701,3230.040432890054,-1472459.2623396672,1475689.3027725571,1022.2798935203762,984.6789578808534,1003.65206350874,39.49790855891246,1738.665722005534,256.38952274301556,1003.6520635087398,181910.18649712962,500,500,400,random,gradient,True,501826.0317543701,-420490015218.41614,-1.272929427256006e+18,1.2729290067659907e+18,225536188967.41943,50822101137.08971,113301294173.9374,9.497950199050956e+20,37528330995214.125,0.0,113301294173.9374,3.5315600368220986e+24
42,400,30,15,random,gradient,True,6838.491356859534,0.6803285864391364,-3067.123493338306,3067.803821924745,21.16184880192254,12.166177510722163,17.096228392148834,2.6708059261984114,257.2622927097805,198.84630420774587,227.94971189531782,136.6064055513762,400,30,15,random,gradient,True,6838.491356859534,-15634366306.840567,-7.360780441767286e+25,7.360780441767284e+25,73918741990097.64,8225.271305782928,184979831547.64777,1.3625738101616093e+25,57645392819887.93,55.37373759562614,2466397753968.637,1.0913585135763655e+26
43,200,30,3,random,gradient,True,3174.608600563379,0.2946961287800459,-611.1250326499279,611.419728778708,21.412138836570403,12.388644665234393,15.873043002816893,2.269173822702454,115.20638607151659,96.67951846921345,105.82028668544595,19.04811994016239,200,30,3,random,gradient,True,3174.608600563379,-770648.3296290322,-4128016017.1649027,4127245368.8352737,108970330.52976893,81315817.74320956,93615242.89536569,47922760737181.164,1788962388.1826441,0.7430261684455303,62410161.93024378,1.0295311848598728e+17
44,200,50,40,random,gradient,True,5659.874539942768,1.5920959616728687,-2190.996447904745,2192.5885438664177,33.4896507940586,22.523384204629163,28.299372699713842,4.075622448612578,129.22988462122,94.69968489795602,113.19749079885537,65.95881034298658,200,50,40,random,gradient,True,5659.874539942768,-1.5583234061484127e+18,-5.666768294879828e+40,5.666768294879828e+40,5.261784197902055e+20,757.7937491990353,3.545144472692399e+18,1.4751804492327718e+39,7.090288945234183e+20,72.38493898535192,1.4180577890769588e+19,9.853350676065832e+39
45,400,10,5,random,gradient,True,2154.3554982551004,0.03934845294283264,-515.9535864578136,515.9929349107564,8.001082625523866,2.7550358207167727,5.385888745637752,0.8477178327227465,225.95155637306706,199.04156686472285,215.43554982551004,80.55848830500442,400,10,5,random,gradient,True,2154.3554982551004,-45534.80396237177,-36776598685.691086,36776553150.88712,134846550.15559506,3548723.182855564,16989665.30632312,281957758156501.06,6665124525.161297,335.37632546052225,679586612.2529249,3.9817117441678915e+18
46,500,30,24,random,gradient,True,9060.20340693448,0.9862923692250861,-6034.020379501148,6035.006671870374,24.055309833845108,13.681381294960014,18.120406813868964,2.4198696259121406,359.4726875397972,250.13176680256868,302.0067802311493,624.2584596051447,500,30,24,random,gradient,True,9060.20340693448,-184320369691.90262,-1.7453788749952355e+27,1.7453788749952353e+27,763027232197934.8,6393.315491576536,2009233263745.253,1.1984926039439635e+27,951957806378931.6,66.50696342380704,33487221062420.883,2.9120090061263735e+28
47,500,50,5,random,gradient,True,16385.43815205032,4.063715416930636,-15203.731202545223,15207.794917962154,38.643367389021336,27.081050043951326,32.77087630410064,3.9633805163717506,399.89620107885935,253.00233090740502,327.70876304100636,1666.6330522316562,500,50,5,random,gradient,True,16385.43815205032,-18710519.402240235,-685341822517.5707,685323111998.1685,227180827.6856472,119865232.51162264,162288755.02395636,286626011769150.8,39979866955.49883,16.89715675665374,1622887550.239564,5.278064028043408e+19
48,200,30,24,random,gradient,True,3276.46864608836,0.331091626206492,-732.5637525921385,732.8948442183449,21.349433778936884,11.925659517880643,16.382343230441798,2.7417592220441667,119.76703438773484,99.06670948875617,109.21562153627868,27.721601058488417,200,30,24,random,gradient,True,3276.46864608836,-462580.5950654892,-5396733982125.829,5396733519545.234,541661104.3384761,925.609768392104,7808934.043172314,2973332294793422.5,1559894388.867213,18.125421658531064,52059560.28781543,7.839885160905651e+16
49,200,30,15,random,gradient,True,3239.154257210729,0.33131935081222585,-710.9974332110902,711.3287525619024,20.347520236764012,12.164102780059268,16.19577128605365,2.447041851096797,119.4983875878677,93.46244877625914,107.97180857369099,31.236187127013753,200,30,15,random,gradient,True,3239.154257210729,-1150989740120.025,-3.634489779878822e+29,3.634489779878822e+29,1610872766994235.8,485.23896298726993,8055032595094.677,1.2909671895639742e+28,1611006511358465.5,382.98189600801135,53700217300631.24,8.362768598317745e+28
