,Nc_init,M_init,Nr_init,rtype_init,dtype_init,divide_init,nlin_init,total population_init,staticdif_init,EP_init,dif_init,Cell  Volume_max_init,Cell  Volume_min_init,Cell  Volume_ave_init,Cell  Volume_var_init,Total Chemicals_max_init,Total Chemicals_min_init,Total Chemicals_ave_init,Total Chemicals_var_init,Nc_last,M_last,Nr_last,rtype_last,dtype_last,divide_last,nlin_last,total population_last,staticdif_last,EP_last,dif_last,Cell  Volume_max_last,Cell  Volume_min_last,Cell  Volume_ave_last,Cell  Volume_var_last,Total Chemicals_max_last,Total Chemicals_min_last,Total Chemicals_ave_last,Total Chemicals_var_last
10,200,100,80,random,gradient,True,True,12902.018700830842,12.442419345068716,-9265.656869421076,9278.099288766145,73.19661686685133,55.98384840781988,64.51009350415421,8.120828443928017,159.3021354759734,97.89797466901037,129.02018700830843,263.62970056584686,200,100,80,random,gradient,True,True,12902.018700830842,1.95973873269395e-06,5.480401631708437,-5.480399671969704,2649.4636871138036,2649.4536565175586,2649.4593384355244,5.7392507884068715e-06,538.1945559924079,515.6016472711306,529.8918676871049,16.22161490837798
11,500,100,50,random,gradient,True,True,40248.37858253532,30.901127629684073,-60670.11831292715,60701.01944055683,89.0449747993773,71.6739751796087,80.49675716507065,8.387020005878094,539.2399532571969,265.7832655868783,402.48378582535327,6260.936689336916,500,100,50,random,gradient,True,True,40248.37858253532,4.0391656511928884e-08,14.249914013284611,-14.249913972892955,5550.393468075354,5550.393395163188,5550.393431076399,1.8267928575248897e-10,2814.268815338346,2748.3252498652096,2775.1967155381994,121.25668105091705
12,500,30,24,random,gradient,True,True,9055.944407536472,0.983625060434284,-6013.509239400282,6014.492864460716,24.04649243884002,13.67242996636598,18.111888815072945,2.4199146915703036,360.3000795935869,249.29485569556235,301.86481358454904,626.8300851763305,500,30,24,random,gradient,True,True,9055.944407536472,1.5760469614178873e-07,1.5922697780465607,-1.5922696204418645,1517.775704167477,1517.7742944157922,1517.7750700668605,1.177287833560993e-07,2616.3977902876127,2499.73275134358,2529.6251167781006,491.85678744993254
13,100,30,3,random,gradient,True,True,1508.5634643615922,0.04723422841235606,-20.102432765440785,20.149666993853142,18.04793232735972,11.32127838386106,15.08563464361592,2.2870792443187375,57.255736482307114,45.384283440422834,50.28544881205306,8.250013854665685,100,30,3,random,gradient,True,True,1508.5634643615922,1.50258920257329e-08,0.3027191913838963,-0.30271917635800427,104.73467940392453,104.73456455299959,104.73459769535555,1.4503555697697897e-09,39.077055827564415,29.000324873317798,34.91153256511852,4.628601194537675
14,100,50,25,random,gradient,True,True,2586.5509938333807,0.42638695715864194,-203.60169593209446,204.0280828892531,30.49287587610994,21.552321922323507,25.865509938333805,3.4794698550128147,57.52718880319357,45.244709231145485,51.73101987666762,8.653030613521544,100,50,25,random,gradient,True,True,2586.5509938333807,6.810927061451366e-08,0.7648061333008198,-0.7648060651915491,371.9354285379701,371.93489160186044,371.93509716604575,2.8494548185073373e-08,78.36941715522046,61.46691498329352,74.38701943320916,8.118409278464398
15,400,30,15,random,gradient,True,True,6841.469703600713,0.6825266480728087,-3080.81325466687,3081.4957813149426,21.168608746488957,12.17344175411665,17.10367425900178,2.6707413759619953,259.18568784924423,198.79104219518672,228.04899012002377,141.08439622516235,400,30,15,random,gradient,True,True,6841.469703600713,1.3871728224330582e-06,1.1742348092932329,-1.1742334221204105,1041.1500123611602,1041.1265985458188,1041.1402541308773,4.404476053725373e-05,1495.0285216588481,1362.8205438190357,1388.1870055078364,665.5271099054469
16,400,50,5,random,gradient,True,True,12193.975602593786,2.6959778692018026,-7598.9574866544435,7601.653464523645,36.78497743205728,25.17348552886527,30.484939006484467,4.066019745279386,283.6390599064326,205.78048309572299,243.8795120518757,434.3290289826173,400,50,5,random,gradient,True,True,12193.975602593786,3.7802276838192485e-06,3.0845622818651997,-3.084558501637516,1819.3829413256365,1819.328679569292,1819.3515623446324,0.00017295026500623652,1470.5989215662596,1411.8586570650443,1455.481249875706,103.38130791780475
17,500,500,250,random,gradient,True,True,495421.48529056297,3186.3011075687505,-1440473.3388277632,1443659.639935332,1010.5525151237531,973.5222852112238,990.8429705811261,42.78524972770493,1716.8556734071574,258.12055461803345,990.8429705811261,176171.69844335917,500,500,250,random,gradient,True,True,495421.48529056297,8.959886617958546e-07,314.48077253695914,-314.4807716409705,29263.27300477467,29263.272731901954,29263.272886550014,4.623572341310964e-09,2960.1636346049786,2861.5161975214232,2926.327288655001,79.89617794687082
18,100,10,8,random,gradient,True,True,489.62551168305515,0.0019215429220570286,-1.1598061685698726,1.1617277114919295,6.723826209699987,2.5144133933143245,4.8962551168305515,0.8977394497334522,51.80017101396247,45.77946225605108,48.96255116830551,4.650883029196533,100,10,8,random,gradient,True,True,489.62551168305515,1.0320515548301046e-07,0.4818415906830973,-0.4818414874779418,25.853583825396818,25.850641526113545,25.851897214637233,3.395677494571037e-07,326.1506759588737,181.42563779584725,258.5189721463724,2705.3680305693106
19,400,100,10,random,gradient,True,True,28730.166848939043,21.226615309069995,-31375.279603879346,31396.506219188417,83.65618552258063,62.49363631651612,71.8254171223476,8.21114306370312,379.8477962822,214.49248414234563,287.30166848939047,1983.4378070820096,400,100,10,random,gradient,True,True,28730.166848939043,1.1798861669376492e-07,11.75456973253672,-11.754569614548103,3951.815852861402,3951.8155846523946,3951.8157148407795,4.416741894135454e-09,1592.8417022258077,1567.9672149660698,1580.7262859363118,38.35371897844754
